sound, light
291,464
285,458
292,464
291,464
287,458
285,458
285,465
292,488
292,462
288,463
285,483
285,462
290,460
291,461
292,474
293,459
294,464
293,493
292,461
292,462
293,460
293,459
292,463
291,489
293,461
293,462
293,463
286,468
287,461
287,467
293,495
294,459
296,465
294,470
44,458
33,461
32,466
138,489
288,463
292,464
293,490
292,468
293,475
213,461
38,463
31,465
31,490
30,462
30,468
30,491
30,464
29,464
30,466
30,477
30,464
260,468
172,500
35,466
31,467
30,469
30,489
31,464
30,468
30,495
181,464
282,470
45,505
30,464
29,472
27,504
27,469
30,471
30,486
29,469
28,469
27,467
27,465
27,465
28,469
31,472
29,470
29,476
29,468
30,469
30,494
30,466
32,470
31,502
32,467
31,474
31,499
32,470
31,474
33,487
34,471
34,473
35,476
33,473
35,473
35,477
35,483
37,470
38,471
32,494
20,460
19,457
29,447
30,450
21,459
19,460
17,465
27,469
27,492
37,467
57,469
57,504
21,465
19,467
17,492
16,460
16,480
16,453
15,460
17,462
18,499
18,465
193,467
289,469
289,463
290,460
148,460
33,488
29,459
20,459
19,465
18,456
16,456
17,459
17,505
202,460
288,467
289,487
291,464
291,465
291,468
292,499
48,463
29,462
21,463
19,462
18,473
53,510
275,476
283,477
290,482
291,478
291,476
285,474
286,466
284,470
110,500
22,463
20,463
27,463
27,467
22,460
19,466
17,498
26,463
26,465
26,467
20,463
18,463
18,466
16,482
16,459
15,458
16,461
18,455
17,454
18,455
21,472
21,450
21,458
19,469
18,500
17,469
16,474
22,476
27,476
30,480
33,496
34,476
43,478
45,482
45,507
57,478
57,517
57,477
57,478
59,482
58,476
59,480
65,481
66,516
62,478
54,480
53,483
48,477
47,479
46,483
41,512
39,474
34,477
31,490
30,470
24,468
23,466
21,472
19,426
18,413
18,411
15,403
20,413
25,431
25,459
21,452
19,463
17,489
17,467
16,471
26,508
25,472
25,477
22,479
22,473
22,475
22,493
21,474
238,475
283,503
284,471
285,472
285,475
285,486
286,477
285,477
285,480
285,510
291,475
290,479
292,494
293,476
293,478
287,480
285,506
286,478
292,480
291,507
286,476
285,477
285,479
285,491
285,474
288,479
291,512
291,476
286,478
285,479
286,478
291,477
291,479
292,515
292,476
293,481
292,495
291,479
291,512
291,475
293,478
293,500
292,474
291,475
291,478
292,500
292,472
292,474
293,510
293,468
293,470
293,474
293,474
311,467
310,468
304,507
294,460
294,466
291,477
291,459
292,464
293,465
293,491
286,459
286,463
286,459
286,501
285,450
292,461
294,493
295,451
293,456
293,474
293,452
294,455
294,463
310,460
298,498
293,460
293,465
292,504
294,461
293,465
294,498
293,460
293,468
293,483
294,466
293,470
294,475
292,466
291,471
290,475
291,486
291,472
291,475
292,506
291,472
289,480
289,511
289,472
290,478
290,505
291,473
292,478
291,492
291,476
291,479
289,485
289,477
289,479
289,482
289,493
289,481
290,484
288,510
287,484
287,509
287,483
289,490
289,473
289,475
289,471
289,481
289,456
289,458
288,462
305,487
305,445
299,455
288,481
288,445
287,451
287,454
287,472
287,439
288,444
303,482
304,437
305,439
305,444
304,464
296,443
286,447
285,495
287,445
288,451
287,457
287,459
286,459
302,470
304,517
301,479
282,479
282,482
281,482
281,487
281,493
282,484
282,488
283,475
283,481
282,486
284,514
278,474
278,484
276,503
277,472
277,478
276,481
275,500
275,467
273,475
274,510
274,462
292,471
292,473
285,487
275,459
272,464
270,468
270,507
267,458
268,466
265,483
264,451
264,456
271,461
270,494
271,451
264,461
263,492
262,449
262,453
42,451
38,454
36,455
36,501
36,454
114,456
255,480
258,449
259,457
90,506
37,453
35,455
36,460
254,469
262,455
258,466
257,514
257,460
262,462
261,469
259,460
257,458
258,467
258,509
258,455
257,462
257,478
258,453
255,459
253,464
254,496
253,454
253,463
252,498
252,455
251,457
249,464
250,482
249,455
249,506
251,458
251,465
252,493
248,512
247,459
248,462
247,464
248,468
248,464
249,471
248,471
250,477
247,482
245,497
246,482
248,485
247,527
247,482
248,484
248,484
249,481
248,479
247,480
248,525
247,478
244,480
242,502
242,482
241,485
241,484
243,519
245,484
245,487
246,521
245,483
245,484
247,485
247,496
247,485
246,515
259,481
267,480
267,518
252,477
248,479
248,482
248,495
