Sound, Light
521,400
516,398
511,396
521,399
515,401
518,401
518,397
521,394
519,396
511,395
526,395
517,394
516,392
522,395
519,394
518,393
514,395
517,394
524,392
514,392
517,387
518,385
521,386
514,385
519,387
519,389
519,390
520,389
518,391
520,391
515,390
521,393
521,395
509,397
527,398
516,398
510,399
524,401
527,399
513,403
515,400
512,400
520,400
523,400
512,403
515,401
524,401
522,403
507,401
520,403
518,403
520,402
515,403
519,402
518,404
519,402
516,405
515,401
516,404
513,401
518,402
517,402
516,399
517,401
519,398
521,402
522,397
517,398
518,396
514,402
519,400
523,400
516,400
520,397
520,398
511,400
517,398
519,400
518,399
528,398
520,401
519,400
524,398
518,400
517,400
517,398
521,398
518,401
514,401
521,397
514,398
513,401
523,399
515,399
517,398
514,401
525,400
515,398
516,398
520,400
525,397
512,398
513,400
522,400
514,401
522,401
516,405
519,406
517,398
513,404
521,409
514,410
513,411
514,414
516,414
517,414
519,412
518,417
517,416
519,417
515,417
518,418
513,420
510,420
517,419
517,420
522,419
519,419
518,419
519,420
520,419
515,418
517,419
521,418
513,421
514,420
521,421
514,419
519,420
517,418
524,418
525,418
514,417
523,420
514,418
518,417
522,419
520,418
515,419
521,417
518,420
510,417
524,419
517,418
520,417
517,417
519,417
522,419
516,416
513,417
524,419
521,416
517,417
516,418
523,417
517,416
522,415
516,417
520,419
523,417
521,418
527,416
513,415
514,418
519,416
515,418
520,416
518,417
517,415
519,417
517,417
520,419
514,416
516,418
514,415
513,416
519,417
513,416
521,415
512,416
522,415
514,416
518,417
525,418
510,418
522,415
524,416
513,418
521,419
520,417
517,415
526,418
509,417
517,415
519,417
518,418
523,415
514,415
517,416
515,417
520,416
518,418
516,417
518,414
521,416
519,417
514,416
521,417
518,418
517,418
516,415
520,417
518,414
525,416
523,417
514,418
519,416
522,417
515,416
515,418
524,417
521,415
514,415
519,417
517,416
525,416
512,415
516,414
516,417
517,414
516,418
513,414
524,418
518,415
516,415
518,416
518,416
514,414
520,414
514,414
517,416
520,415
523,420
519,417
518,415
521,416
518,415
515,416
515,420
518,417
521,417
518,417
522,417
523,416
515,417
517,418
519,417
512,416
523,417
522,416
516,418
516,418
519,417
520,416
516,416
517,417
516,417
527,416
514,416
517,418
521,418
520,415
521,418
525,415
513,415
523,418
523,417
508,420
520,417
524,415
512,417
517,417
522,416
523,419
515,418
518,416
525,418
516,417
519,416
513,417
520,417
515,416
519,417
517,418
520,418
517,417
525,416
511,418
517,416
521,416
517,418
514,417
522,416
521,417
521,417
514,417
519,417
520,416
515,415
517,417
517,416
520,414
521,415
513,417
519,417
521,416
517,417
519,417
519,418
515,418
518,417
520,416
516,418
513,417
517,417
527,415
514,416
